agent_name,model,priming,round,balance
Agent-14,claude,neutral,36,1420
Agent-15,openai,neutral,36,1030
Agent-16,claude,neutral,36,780
Agent-2,openai,neutral,36,460
Agent-3,openai,neutral,36,1020
Agent-4,openai,neutral,36,940
Agent-5,claude,neutral,36,1970
Agent-6,claude,neutral,36,720
Agent-7,claude,neutral,36,1070
Agent-8,openai,neutral,36,770
Agent-9,claude,neutral,36,890
Agent-1,openai,neutral,37,1190
Agent-10,claude,neutral,37,1110
Agent-11,openai,neutral,37,970
Agent-12,claude,neutral,37,890
Agent-13,openai,neutral,37,820
Agent-14,claude,neutral,37,1480
Agent-15,openai,neutral,37,1090
Agent-16,claude,neutral,37,720
Agent-2,openai,neutral,37,460
Agent-3,openai,neutral,37,1020
Agent-4,openai,neutral,37,890
Agent-5,claude,neutral,37,1970
Agent-6,claude,neutral,37,660
Agent-7,claude,neutral,37,1130
Agent-8,openai,neutral,37,770
Agent-9,claude,neutral,37,830
Agent-1,openai,neutral,38,1190
Agent-10,claude,neutral,38,1170
Agent-11,openai,neutral,38,920
Agent-12,claude,neutral,38,900
Agent-13,openai,neutral,38,830
Agent-14,claude,neutral,38,1480
Agent-15,openai,neutral,38,1030
Agent-16,claude,neutral,38,720
Agent-2,openai,neutral,38,520
Agent-3,openai,neutral,38,960
Agent-4,openai,neutral,38,890
Agent-5,claude,neutral,38,1960
Agent-6,claude,neutral,38,700
Agent-7,claude,neutral,38,1190
Agent-8,openai,neutral,38,770
Agent-9,claude,neutral,38,770
Agent-1,openai,neutral,39,1190
Agent-10,claude,neutral,39,1170
Agent-11,openai,neutral,39,930
Agent-12,claude,neutral,39,900
Agent-13,openai,neutral,39,770
Agent-14,claude,neutral,39,1480
Agent-15,openai,neutral,39,1090
Agent-16,claude,neutral,39,720
Agent-2,openai,neutral,39,520
Agent-3,openai,neutral,39,950
Agent-4,openai,neutral,39,890
Agent-5,claude,neutral,39,1960
Agent-6,claude,neutral,39,750
Agent-7,claude,neutral,39,1190
Agent-8,openai,neutral,39,780
Agent-9,claude,neutral,39,710
Agent-1,openai,neutral,40,1190
Agent-10,claude,neutral,40,1290
Agent-11,openai,neutral,40,870
Agent-12,claude,neutral,40,900
Agent-13,openai,neutral,40,720
Agent-14,claude,neutral,40,1480
Agent-15,openai,neutral,40,1090
Agent-16,claude,neutral,40,660
Agent-2,openai,neutral,40,520
Agent-3,openai,neutral,40,940
Agent-4,openai,neutral,40,890
Agent-5,claude,neutral,40,2010
Agent-6,claude,neutral,40,750
Agent-7,claude,neutral,40,1190
Agent-8,openai,neutral,40,790
Agent-9,claude,neutral,40,710
Agent-1,openai,neutral,41,1130
Agent-10,claude,neutral,41,1340
Agent-11,openai,neutral,41,810
Agent-12,claude,neutral,41,900
Agent-13,openai,neutral,41,670
Agent-14,claude,neutral,41,1490
Agent-15,openai,neutral,41,1150
Agent-16,claude,neutral,41,660
Agent-2,openai,neutral,41,520
Agent-3,openai,neutral,41,1000
Agent-4,openai,neutral,41,890
Agent-5,claude,neutral,41,2060
Agent-6,claude,neutral,41,810
Agent-7,claude,neutral,41,1180
Agent-8,openai,neutral,41,740
Agent-9,claude,neutral,41,650
Agent-1,openai,neutral,42,1130
Agent-10,claude,neutral,42,1380
Agent-11,openai,neutral,42,810
Agent-12,claude,neutral,42,910
Agent-13,openai,neutral,42,610
Agent-14,claude,neutral,42,1560
Agent-15,openai,neutral,42,1150
Agent-16,claude,neutral,42,660
Agent-2,openai,neutral,42,460
Agent-3,openai,neutral,42,1000
Agent-4,openai,neutral,42,900
Agent-5,claude,neutral,42,2110
Agent-6,claude,neutral,42,820
Agent-7,claude,neutral,42,1220
Agent-8,openai,neutral,42,690
Agent-9,claude,neutral,42,590
Agent-1,openai,neutral,43,1130
Agent-10,claude,neutral,43,1370
Agent-11,openai,neutral,43,810
Agent-12,claude,neutral,43,920
Agent-13,openai,neutral,43,550
Agent-14,claude,neutral,43,1620
Agent-15,openai,neutral,43,1150
Agent-16,claude,neutral,43,600
Agent-2,openai,neutral,43,400
Agent-3,openai,neutral,43,990
Agent-4,openai,neutral,43,850
Agent-5,claude,neutral,43,2160
Agent-6,claude,neutral,43,940
Agent-7,claude,neutral,43,1220
Agent-8,openai,neutral,43,700
Agent-9,claude,neutral,43,590
