agent_name,model,priming,round,balance
Agent-16,openai,competitive,15,900
Agent-2,openai,strategic,15,1400
Agent-3,claude,neutral,15,850
Agent-4,claude,cooperative,15,1000
Agent-5,claude,competitive,15,900
Agent-6,openai,neutral,15,1000
Agent-7,claude,neutral,15,625
Agent-8,claude,strategic,15,1150
Agent-9,claude,strategic,15,1275
Agent-1,openai,neutral,16,1050
Agent-10,claude,competitive,16,1250
Agent-11,openai,strategic,16,850
Agent-12,openai,competitive,16,1100
Agent-13,openai,cooperative,16,1050
Agent-14,openai,cooperative,16,850
Agent-15,claude,cooperative,16,750
Agent-16,openai,competitive,16,850
Agent-2,openai,strategic,16,1450
Agent-3,claude,neutral,16,900
Agent-4,claude,cooperative,16,1000
Agent-5,claude,competitive,16,850
Agent-6,openai,neutral,16,1000
Agent-7,claude,neutral,16,575
Agent-8,claude,strategic,16,1150
Agent-9,claude,strategic,16,1325
Agent-1,openai,neutral,17,1050
Agent-10,claude,competitive,17,1300
Agent-11,openai,strategic,17,800
Agent-12,openai,competitive,17,1150
Agent-13,openai,cooperative,17,1050
Agent-14,openai,cooperative,17,800
Agent-15,claude,cooperative,17,700
Agent-16,openai,competitive,17,800
Agent-2,openai,strategic,17,1450
Agent-3,claude,neutral,17,900
Agent-4,claude,cooperative,17,1000
Agent-5,claude,competitive,17,850
Agent-6,openai,neutral,17,1050
Agent-7,claude,neutral,17,525
Agent-8,claude,strategic,17,1150
Agent-9,claude,strategic,17,1425
Agent-1,openai,neutral,18,1000
Agent-10,claude,competitive,18,1250
Agent-11,openai,strategic,18,850
Agent-12,openai,competitive,18,1150
Agent-13,openai,cooperative,18,1100
Agent-14,openai,cooperative,18,750
Agent-15,claude,cooperative,18,750
Agent-16,openai,competitive,18,850
Agent-2,openai,strategic,18,1500
Agent-3,claude,neutral,18,850
Agent-4,claude,cooperative,18,1050
Agent-5,claude,competitive,18,800
Agent-6,openai,neutral,18,1000
Agent-7,claude,neutral,18,475
Agent-8,claude,strategic,18,1150
Agent-9,claude,strategic,18,1475
Agent-1,openai,neutral,19,950
Agent-10,claude,competitive,19,1250
Agent-11,openai,strategic,19,850
Agent-12,openai,competitive,19,1100
Agent-13,openai,cooperative,19,1100
Agent-14,openai,cooperative,19,800
Agent-15,claude,cooperative,19,750
Agent-16,openai,competitive,19,900
Agent-2,openai,strategic,19,1550
Agent-3,claude,neutral,19,900
Agent-4,claude,cooperative,19,1050
Agent-5,claude,competitive,19,800
Agent-6,openai,neutral,19,1000
Agent-7,claude,neutral,19,425
Agent-8,claude,strategic,19,1150
Agent-9,claude,strategic,19,1425
Agent-1,openai,neutral,20,900
Agent-10,claude,competitive,20,1200
Agent-11,openai,strategic,20,850
Agent-12,openai,competitive,20,1100
Agent-13,openai,cooperative,20,1050
Agent-14,openai,cooperative,20,800
Agent-15,claude,cooperative,20,700
Agent-16,openai,competitive,20,950
Agent-2,openai,strategic,20,1650
Agent-3,claude,neutral,20,950
Agent-4,claude,cooperative,20,1050
Agent-5,claude,competitive,20,750
Agent-6,openai,neutral,20,1000
Agent-7,claude,neutral,20,375
Agent-8,claude,strategic,20,1200
Agent-9,claude,strategic,20,1475
Agent-1,openai,neutral,21,900
Agent-10,claude,competitive,21,1150
Agent-11,openai,strategic,21,800
Agent-12,openai,competitive,21,1100
Agent-13,openai,cooperative,21,1000
Agent-14,openai,cooperative,21,750
Agent-15,claude,cooperative,21,700
Agent-16,openai,competitive,21,1000
Agent-2,openai,strategic,21,1700
Agent-3,claude,neutral,21,950
Agent-4,claude,cooperative,21,1050
Agent-5,claude,competitive,21,750
Agent-6,openai,neutral,21,1100
Agent-7,claude,neutral,21,325
Agent-8,claude,strategic,21,1200
Agent-9,claude,strategic,21,1525
Agent-1,openai,neutral,22,950
Agent-10,claude,competitive,22,1150
Agent-11,openai,strategic,22,750
Agent-12,openai,competitive,22,1050
Agent-13,openai,cooperative,22,950
Agent-14,openai,cooperative,22,750
Agent-15,claude,cooperative,22,750
Agent-16,openai,competitive,22,1000
Agent-2,openai,strategic,22,1750
Agent-3,claude,neutral,22,950
Agent-4,claude,cooperative,22,1050
Agent-5,claude,competitive,22,800
Agent-6,openai,neutral,22,1100
Agent-7,claude,neutral,22,275
Agent-8,claude,strategic,22,1200
Agent-9,claude,strategic,22,1525
Agent-1,openai,neutral,23,1000
Agent-10,claude,competitive,23,1150
Agent-11,openai,strategic,23,750
Agent-12,openai,competitive,23,1150
Agent-13,openai,cooperative,23,900
Agent-14,openai,cooperative,23,750
Agent-15,claude,cooperative,23,750
Agent-16,openai,competitive,23,1000
Agent-2,openai,strategic,23,1800
Agent-3,claude,neutral,23,1000
Agent-4,claude,cooperative,23,1050
Agent-5,claude,competitive,23,750
Agent-6,openai,neutral,23,1050
Agent-7,claude,neutral,23,225
Agent-8,claude,strategic,23,1200
Agent-9,claude,strategic,23,1475
Agent-1,openai,neutral,24,1050
Agent-10,claude,competitive,24,1200
Agent-11,openai,strategic,24,750
Agent-12,openai,competitive,24,1150
Agent-13,openai,cooperative,24,900
Agent-14,openai,cooperative,24,700
Agent-15,claude,cooperative,24,700
Agent-16,openai,competitive,24,1000
Agent-2,openai,strategic,24,1800
Agent-3,claude,neutral,24,1050
Agent-4,claude,cooperative,24,1050
Agent-5,claude,competitive,24,800
Agent-6,openai,neutral,24,1000
Agent-7,claude,neutral,24,175
Agent-8,claude,strategic,24,1150
Agent-9,claude,strategic,24,1525
Agent-1,openai,neutral,25,1000
Agent-10,claude,competitive,25,1200
Agent-11,openai,strategic,25,800
Agent-12,openai,competitive,25,1200
Agent-13,openai,cooperative,25,850
Agent-14,openai,cooperative,25,700
Agent-15,claude,cooperative,25,650
Agent-16,openai,competitive,25,950
Agent-2,openai,strategic,25,1850
